Pattern,Text,Cause,Connector,Effect
(.*) so (.*?) that (.*),There is so much to know about our home planet that most geologists become specialists in one area.,There is,much to know about our home planet,most geologists become specialists in one area.
(.*?) for (.*),It fell for several reasons: 1.,It fell,several reasons: 1.
(.*?) for (.*),"As the death rate fell, the birth rate stayed high for a while.","As the death rate fell, the birth rate stayed high",a while.
(.*?) since (.*),"However, the birth rate in these countries has since fallen to a rate close to that of the low death rate.","However, the birth rate in these countries has",fallen to a rate close to that of the low death rate.
(.*?) for (.*),"For example, if you only need a quart of paint for a job, dont buy a gallon.","For example, if you only need a quart of paint","a job, dont buy a gallon."
(.*?) if (.*),Use less hazardous products if you can.,Use less hazardous products,you can.
(.*?) if (.*),Reuse products if its safe to do so.,Reuse products,its safe to do so.
(.*?) for (.*),"For example, some service stations allow you to drop off used motor oil, car batteries, or tires for recycling.","For example, some service stations allow you to drop off used motor oil, car batteries, or tires",recycling.
(.*?) why (.*),Thats one reason why you should keep the products in their original containers.,Thats one reason,you should keep the products in their original containers.
(.*?) (?:indicate|indicates|indicated|realize|realizes|realized|ensure|ensures|ensured|imply|implies|implied) (.*),They realized there must be other Love Canals all over the country.,They,there must be other Love Canals all over the country.
(.*?) (?:concern|concerns|concerned|require|requires|required|request|requests|requested) (.*),The law also required safer disposal of hazardous waste in the future.,The law also,safer disposal of hazardous waste in the future.
(.*?)(?:by|through) (.*),Love Canal highlighted the problem of pollution by hazardous waste.,Love Canal highlighted the problem of pollution ,hazardous waste.
(.*?) because (.*),"It may be dangerous because it is toxic, corrosive, flammable, or explosive.",It may be dangerous,"it is toxic, corrosive, flammable, or explosive."
(.*?) if (.*),The risk of explosion may be greater if the waste is mixed with other substances.,The risk of explosion may be greater,the waste is mixed with other substances.
(.*?) as (.*),Example Description Cars contain toxic fluids such as brake fluid.,Example Description Cars contain toxic fluids such,brake fluid.
(.*?) as (.*),"Electronics, such as old computers, contain toxic chem- icals.","Electronics, such","old computers, contain toxic chem- icals."
(.*) on (.*?) (?:ground|grounds) (.*),Paints may spill on the ground or be thrown improperly in the trash.,Paints may spill,the,or be thrown improperly in the trash.
(.*?) (?:indicate|indicates|indicated|realize|realizes|realized|ensure|ensures|ensured|imply|implies|implied) (.*),Companies must ensure that hazardous waste is not allowed to enter the environment in dangerous amounts.,Companies must,that hazardous waste is not allowed to enter the environment in dangerous amounts.
(.*?) for (.*),Then they sold the land to the city for just a dollar.,Then they sold the land to the city,just a dollar.
(.*?) if (.*),Residents wanted to know if the old chemicals were the cause.,Residents wanted to know,the old chemicals were the cause.
(.*?) for (.*),"More than three decades later, much of Love Canal is still too contaminated to be safe for people.","More than three decades later, much of Love Canal is still too contaminated to be safe",people.
(.*?)(?:by|through) (.*),Lava from inside Earth breaks through the crust and creates the mountains.,Lava from inside Earth breaks ,the crust and creates the mountains.
(.*?) so (.*),"Because the continents are so old, a lot has happened to them!",Because the continents are,"old, a lot has happened to them!"
(.*?)(?:by|through) (.*),"Over millions of years, mountains are worn down by rivers and streams.","Over millions of years, mountains are worn down ",rivers and streams.
(.*?) for (.*),Direction is important for describing moving objects.,Direction is important,describing moving objects.
(.*?)(?:by|through) (.*),The most common way to describe direction is by using a compass.,The most common way to describe direction is ,using a compass.
(.*)if (.*?) then (.*),"If you have a compass and you find north, you can then know any other direction.",,"you have a compass and you find north, you can",know any other direction.
(.*?) as (.*),"See the directions, such as east, south, west, etc., on a compass rose.","See the directions, such","east, south, west, etc., on a compass rose."
(.*?) as (.*),Usually they use latitude and longitude as a coordinate system.,Usually they use latitude and longitude,a coordinate system.
(.*?)(?:by|through) (.*),Your location is marked by an angle and distance from some reference point.,Your location is marked ,an angle and distance from some reference point.
(.*?) as (.*),"To find your location or to move from place to place, you need a map, a compass, and some way to measure your distance, such as a range finder.","To find your location or to move from place to place, you need a map, a compass, and some way to measure your distance, such",a range finder.
(.*?) so (.*),Earth is a sphere and so is a globe.,Earth is a sphere and,is a globe.
(.*?) for (.*),Globes are best sitting on your desk for reference.,Globes are best sitting on your desk,reference.
(.*?) because (.*),Early sailors and navigators found the Mercator map useful because most explorations were located near the equator.,Early sailors and navigators found the Mercator map useful,most explorations were located near the equator.
(.*?) if (.*),"For example, if you look at Greenland on a globe, you see it is a relatively small country near the North Pole.","For example,","you look at Greenland on a globe, you see it is a relatively small country near the North Pole."
(.*?) as (.*),"Yet, on a Mercator projection, Greenland looks almost as big the United States.","Yet, on a Mercator projection, Greenland looks almost",big the United States.
(.*?) for (.*),This makes it a good type of map for navigation.,This makes it a good type of map,navigation.
(.*?) because (.*),"However, because it is a flat map of a curved surface, a straight line on the map is not the shortest distance between the two points it connects.","However,","it is a flat map of a curved surface, a straight line on the map is not the shortest distance between the two points it connects."
(.*?)(?:by|through) (.*),"Using this system you can define your location by two numbers, latitude and longitude.",Using this system you can define your location ,"two numbers, latitude and longitude."
(.*?) if (.*),What if want to wrap a different approach?,What,want to wrap a different approach?
(.*?) for (.*),A gnomic projection is best for use over a small area.,A gnomic projection is best,use over a small area.
(.*?) for (.*),"In 1988, the National Geographic Society began to use Robinsons projection for its world maps.","In 1988, the National Geographic Society began to use Robinsons projection",its world maps.
(.*?) so (.*),"In a small area, Earth looks flat, so it is not hard to make accurate maps of a small place.","In a small area, Earth looks flat,",it is not hard to make accurate maps of a small place.
(.*?) if (.*),What happens if you try to flatten out the skin of a peeled orange?,What happens,you try to flatten out the skin of a peeled orange?
(.*?) if (.*),Or if you try to gift wrap a soccer ball?,Or,you try to gift wrap a soccer ball?
(.*?) (?:concern|concerns|concerned|require|requires|required|request|requests|requested) (.*),To wrap around object with flat paper requires lots of extra cuts and folds.,To wrap around object with flat paper,lots of extra cuts and folds.
(.*?) as (.*),"Relief maps show elevations of areas, but usually on a larger scale, such as the whole Earth, rather than a local area.","Relief maps show elevations of areas, but usually on a larger scale, such","the whole Earth, rather than a local area."
(.*?) because (.*),Maps are easy to use because they are flat or two-dimensional.,Maps are easy to use,they are flat or two-dimensional.
(.*?) for (.*),Look for the legend on the top left side of the map.,Look,the legend on the top left side of the map.
(.*?) for (.*),Names for bodies of water are also written in blue.,Names,bodies of water are also written in blue.
(.*?) for (.*),It is the convention for north to be at the top of a map.,It is the convention,north to be at the top of a map.
(.*?) if (.*),What if you want to know the latitude and longitude of your location?,What,you want to know the latitude and longitude of your location?
(.*?)(?:by|through) (.*),"The Prime Meridian is a circle that runs north to south and passes through Greenwich, England.",The Prime Meridian is a circle that runs north to south and passes ,"Greenwich, England."
(.*?)(?:by|through) (.*),You can remember latitude and longitude by doing jumping jacks.,You can remember latitude and longitude ,doing jumping jacks.
(.*?) as (.*),"While you are jumping, your arms are going the same way as each of these grid lines: horizontal for latitude and vertical for longitude.","While you are jumping, your arms are going the same way",each of these grid lines: horizontal for latitude and vertical for longitude.
(.*?) for (.*),"On the geologic map of the Grand Canyon, for example, different rock types are shown in different colors.","On the geologic map of the Grand Canyon,","example, different rock types are shown in different colors."
(.*?) because (.*),Some people call the Grand Canyon layer cake geology because most of the rock units are in layers.,Some people call the Grand Canyon layer cake geology,most of the rock units are in layers.
(.*?) (?:imply|implies|implied|indicate|indicates|indicated) (.*),Contour lines that are close together indicate a steep slope.,Contour lines that are close together,a steep slope.
(.*?) because (.*),This is because the elevation changes quickly in a small area.,This is,the elevation changes quickly in a small area.
(.*?) (?:imply|implies|implied|indicate|indicates|indicated) (.*),"Contour lines that seem to touch indicate a very steep slope, like a cliff.",Contour lines that seem to touch,"a very steep slope, like a cliff."
(.*?) because (.*),You can tell this because the contour lines there are closely spaced.,You can tell this,the contour lines there are closely spaced.
(.*?) (?:imply|implies|implied|indicate|indicates|indicated) (.*),Concentric circles indicate a hill.,Concentric circles,a hill.
(.*?) (?:imply|implies|implied|indicate|indicates|indicated) (.*),Hatched concentric circles indicate a depression.,Hatched concentric circles,a depression.
(.*?) (?:imply|implies|implied|indicate|indicates|indicated) (.*),V-shaped portions of contour lines indicate stream valleys.,V-shaped portions of contour lines,stream valleys.
(.*?) because (.*),There is a V shape because the stream channel passes through the point of the V.,There is a V shape,the stream channel passes through the point of the V.
(.*?) (?:imply|implies|implied|indicate|indicates|indicated) (.*),A blue line indicates that there is water running through the valley.,A blue line,that there is water running through the valley.
(.*?) (?:imply|implies|implied|indicate|indicates|indicated) (.*),If there is not a blue line the V pattern indicates which way water flows.,If there is not a blue line the V pattern,which way water flows.
(.*) so that (.*),"Like other maps, topographic maps have a scale so that you can find the horizontal distance.","Like other maps, topographic maps have a scale",you can find the horizontal distance.
(.*?)(?:by|through) (.*),"Since each contour line represents a specific elevation, two different contour are separated by the same difference in elevation (e.g. 20 ft or 100 ft.).","Since each contour line represents a specific elevation, two different contour are separated ",the same difference in elevation (e.g. 20 ft or 100 ft.).
(.*?)(?:by|through) (.*),You can calculate the contour interval by following these steps: a. Take the difference in elevation between 2 bold lines.,You can calculate the contour interval ,following these steps: a. Take the difference in elevation between 2 bold lines.
(.*?)(?:by|through) (.*),b. Divide that difference by the number of contour lines between them.,b. Divide that difference ,the number of contour lines between them.
(.*)if (.*?) then (.*),"If you answered 20 feet, then you are correct (100 ft/5 lines = 20 ft between lines).",,"you answered 20 feet,",you are correct (100 ft/5 lines = 20 ft between lines).
(.*?) for (.*),"Earth scientists use topographic maps for many things: Describing and locating surface features, especially geologic features.",Earth scientists use topographic maps,"many things: Describing and locating surface features, especially geologic features."
(.*?) for (.*),"Determining the direction of flow for surface water, groundwater, and mudslides.",Determining the direction of flow,"surface water, groundwater, and mudslides."
(.*?) as (.*),"Land use planners and architects use topographic maps when planning development projects, such as housing projects, shopping malls, and roads.","Land use planners and architects use topographic maps when planning development projects, such","housing projects, shopping malls, and roads."
(.*?) for (.*),These maps are invaluable for Earth scientists.,These maps are invaluable,Earth scientists.
(.*?) if (.*),But a road map doesnt show if the road goes over a mountain pass or through a valley.,But a road map doesnt show,the road goes over a mountain pass or through a valley.
(.*?)(?:by|through) (.*),A topographic map shows you the features the road is going through or past.,A topographic map shows you the features the road is going ,or past.
(.*?) for (.*),"You see some markers for campsites, a picnic area, and a shuttle bus stop.",You see some markers,"campsites, a picnic area, and a shuttle bus stop."
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),If the lines crossed it would mean that one place had two different elevations.,If the lines crossed it would,that one place had two different elevations.
(.*?) for (.*),Different orbits are important for viewing different things about the planet.,Different orbits are important,viewing different things about the planet.
(.*?)(?:by|through) (.*),"By September 8th , it had intensified to a hurricane over the Gulf of Mexico.",,"September 8th , it had intensified to a hurricane over the Gulf of Mexico."
(.*?) as (.*),They can follow hurricanes as they move from far out in the oceans to shore.,They can follow hurricanes,they move from far out in the oceans to shore.
(.*?) for (.*),These advanced warning give people time to prepare for the storm.,These advanced warning give people time to prepare,the storm.
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),This means that the satellite stays over the same spot.,This,that the satellite stays over the same spot.
(.*?) if (.*),What if you could do the same thing with only one instrument?,What,you could do the same thing with only one instrument?
(.*?)(?:by|through) (.*),"By 1993, the United States military had launched 24 satellites to help soldiers locate their positions on battlefields.",,"1993, the United States military had launched 24 satellites to help soldiers locate their positions on battlefields."
(.*?)(?:by|through) (.*),"The satellites are operated by several government agencies, including NASA, the National Oceano- graphic and Atmospheric Administration (NOAA), and the United States Geological Survey (USGS).",The satellites are operated ,"several government agencies, including NASA, the National Oceano- graphic and Atmospheric Administration (NOAA), and the United States Geological Survey (USGS)."
(.*?)(?:by|through) (.*),"By using different types of scientific instruments, satellites make many kinds of measurements of the Earth.",,"using different types of scientific instruments, satellites make many kinds of measurements of the Earth."
(.*?) as (.*),"Some record amounts of gases in the atmosphere, such as water vapor and carbon dioxide.","Some record amounts of gases in the atmosphere, such",water vapor and carbon dioxide.
(.*?) if (.*),What would have happened if there had been satellites during the time of the 1900 Galveston earthquake?,What would have happened,there had been satellites during the time of the 1900 Galveston earthquake?
(.*?) if (.*),What would have happened if there had been no satellites when hurricane Katrina struck the Gulf of Mexico coast in 2005?,What would have happened,there had been no satellites when hurricane Katrina struck the Gulf of Mexico coast in 2005?
(.*?) for (.*),"Prior to the late 20th and early 21st centuries, mapmakers sent people out in the field to determine the boundaries and locations for various features for maps.","Prior to the late 20th and early 21st centuries, mapmakers sent people out in the field to determine the boundaries and locations",various features for maps.
(.*?) as (.*),The image makes you feel as if you are looking at the ice cap from the surface of Mars.,The image makes you feel,if you are looking at the ice cap from the surface of Mars.
(.*?) as (.*),"As long as you can link the information to a position with a GPS receiver, you can store it in a computer for later processing and map-making.",As long,"you can link the information to a position with a GPS receiver, you can store it in a computer for later processing and map-making."
(.*?)(?:by|through) (.*),Other types of data can be linked by GIS.,Other types of data can be linked ,GIS.
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),Reusing resources means using items again instead of throwing them away.,Reusing resources,using items again instead of throwing them away.
(.*?)(?:by|through) (.*),A reused item can be used in the same way by someone else.,A reused item can be used in the same way ,someone else.
(.*?) for (.*),"Or she might use them to make something different for herself, say, a denim shoulder bag.",Or she might use them to make something different,"herself, say, a denim shoulder bag."
(.*?) for (.*),They can be composted and turned into humus for the garden.,They can be composted and turned into humus,the garden.
(.*?) for (.*),"They stand for reduce, reuse, and recycle.",They stand,"reduce, reuse, and recycle."
(.*?) because (.*),Thats because its easy.,Thats,its easy.
(.*?) as (.*),There are thousands of places to drop off items such as aluminum cans for recycling.,There are thousands of places to drop off items such,aluminum cans for recycling.
(.*?) as (.*),We havent done as well with the first two Rs reducing and reusing.,We havent done,well with the first two Rs reducing and reusing.
(.*?) as (.*),But they arent always as easy as recycling.,But they arent always,easy as recycling.
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),Reducing resource use means just what it says using fewer resources.,Reducing resource use,just what it says using fewer resources.
(.*?) so (.*),Choose items that are well made so they will last longer.,Choose items that are well made,they will last longer.
(.*?) so (.*),"Youll buy fewer items in the long run, so youll save money as well as resources.","Youll buy fewer items in the long run,",youll save money as well as resources.
(.*?) if (.*),Dont buy a gallon of milk if you can only drink half of it before it spoils.,Dont buy a gallon of milk,you can only drink half of it before it spoils.
(.*?)(?:by|through) (.*),A lot of resources are saved by not shipping goods long distances.,A lot of resources are saved ,not shipping goods long distances.
(.*?) for (.*),"Pop cans and plastic water bottles, for example, are fairly easy to recycle.","Pop cans and plastic water bottles,","example, are fairly easy to recycle."
(.*?) as (.*),Renewable resources can be renewed as they are used.,Renewable resources can be renewed,they are used.
(.*?) because (.*),"Just because a resource is renewable, it doesnt mean we should use it carelessly.",Just,"a resource is renewable, it doesnt mean we should use it carelessly."
(.*?) for (.*),Then they may no longer be fit for use.,Then they may no longer be fit,use.
(.*?) for (.*),"If we pollute a water source it may not be usable for drinking, bathing or any other type of use.",If we pollute a water source it may not be usable,"drinking, bathing or any other type of use."
(.*?) because (.*),Thats because they can reproduce and make more fish.,Thats,they can reproduce and make more fish.
(.*?) if (.*),But water pollution and overfishing can cause them to die out if their population becomes too low.,But water pollution and overfishing can cause them to die out,their population becomes too low.
(.*?) for (.*),We need natural resources for just about everything we do.,We need natural resources,just about everything we do.
(.*?) for (.*),"We need them for food and clothing, for building materials and energy.",We need them,"food and clothing, for building materials and energy."
(.*?) as (.*),"Use Vehicles Resources Rubber for tires from rubber trees Steel frames and other metal parts from minerals such as iron Example iron ore Use Electronics Resources Plastic cases from petroleum prod- ucts Glass screens from minerals such as lead Example lead ore Homes Nails from minerals such as iron Timber from trees spruce timber Jewelry Gemstones such as diamonds Minerals such as silver silver ore Food Sunlight, water, and soil Minerals such as phosphorus corn seeds in soil Clothing Wool from sheep Cotton from cotton plants",Use Vehicles Resources Rubber for tires from rubber trees Steel frames and other metal parts from minerals such,"iron Example iron ore Use Electronics Resources Plastic cases from petroleum prod- ucts Glass screens from minerals such as lead Example lead ore Homes Nails from minerals such as iron Timber from trees spruce timber Jewelry Gemstones such as diamonds Minerals such as silver silver ore Food Sunlight, water, and soil Minerals such as phosphorus corn seeds in soil Clothing Wool from sheep Cotton from cotton plants"
(.*?) for (.*),cotton plants Recreation Water for boating and swimming Forests for hiking and camping pine forest,cotton plants Recreation Water,boating and swimming Forests for hiking and camping pine forest
(.*?) for (.*),It takes millions of years for them to form.,It takes millions of years,them to form.
(.*?) for (.*),So oil companies have started to drill for oil far out in the ocean.,So oil companies have started to drill,oil far out in the ocean.
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),This means saving resources.,This,saving resources.
(.*?) so (.*),We need to save resources so some will be left for the future.,We need to save resources,some will be left for the future.
(.*?) so (.*),What are the problems caused by producing so much trash?,What are the problems caused by producing,much trash?
(.*?) for (.*),The human population is expected to increase for at least 40 years.,The human population is expected to increase,at least 40 years.
(.*?) as (.*),"By getting more bang for the buck, we wont need to use as much energy overall.","By getting more bang for the buck, we wont need to use",much energy overall.
(.*?) as (.*),"To be certified as Energy Star, the appliance must use less energy.",To be certified,"Energy Star, the appliance must use less energy."
(.*?) if (.*),What if millions of households used Energy Star appliances?,What,millions of households used Energy Star appliances?
(.*?) as (.*),"Renewable energy resources, such as solar and wind energy, could provide all the energy we need, but they are not yet widely used in the U.S.","Renewable energy resources, such","solar and wind energy, could provide all the energy we need, but they are not yet widely used in the U.S."
(.*) so that (.*),Getting fossil fuels so that they can be used takes many steps.,Getting fossil fuels,they can be used takes many steps.
(.*?) as (.*),Consider petroleum as an example.,Consider petroleum,an example.
(.*?) for (.*),Oil companies explore for petroleum in areas where they think it might be.,Oil companies explore,petroleum in areas where they think it might be.
(.*?) for (.*),"If theres enough to make it worthwhile, they will decide to go for it.","If theres enough to make it worthwhile, they will decide to go",it.
(.*?) as (.*),"It will then separate into different products, such as gasoline and motor oil.","It will then separate into different products, such",gasoline and motor oil.
(.*?) so (.*),"Sunlight is everywhere, so no one needs to go out and find it.","Sunlight is everywhere,",no one needs to go out and find it.
(.*?) for (.*),We dont have to drill for it or pump it to the surface.,We dont have to drill,it or pump it to the surface.
(.*?) for (.*),Even more energy is used for transportation.,Even more energy is used,transportation.
(.*?) for (.*),Industrial uses account for one-third of all the energy used in the U.S.,Industrial uses account,one-third of all the energy used in the U.S.
(.*?)(?:by|through) (.*),One way people can help to bring on drought is by cutting down trees.,One way people can help to bring on drought is ,cutting down trees.
(.*?) as (.*),We already use six times as much water today as we did a hundred years ago.,We already use six times,much water today as we did a hundred years ago.
(.*?) for (.*),"As the number of people rises, our need for water will grow.","As the number of people rises, our need",water will grow.
(.*?)(?:by|through) (.*),"By the year 2025, only half the worlds people will have enough clean water.",,"the year 2025, only half the worlds people will have enough clean water."
(.*?) so (.*),"Crops and livestock may die, so people will have less food available.","Crops and livestock may die,",people will have less food available.
(.*?) as (.*),"Other uses of water, such as industry, may have to stop.","Other uses of water, such","industry, may have to stop."
(.*?)(?:by|through) (.*),Almost 9 out of 10 cases of disease worldwide are caused by unsafe drinking water.,Almost 9 out of 10 cases of disease worldwide are caused ,unsafe drinking water.
(.*?) for (.*),Drier climates generally have less water for people to use.,Drier climates generally have less water,people to use.
(.*?) for (.*),"In some places, people may have less water available to them for an entire year than many Americans use in a single day!","In some places, people may have less water available to them",an entire year than many Americans use in a single day!
(.*?) for (.*),Industries use water for many purposes.,Industries use water,many purposes.
(.*?) for (.*),Many crops are grown where there isnt enough rainfall for plants to thrive.,Many crops are grown where there isnt enough rainfall,plants to thrive.
(.*?) for (.*),Most of the water used in agriculture is used for irrigation.,Most of the water used in agriculture is used,irrigation.
(.*?) as (.*),The water may dissolve agricultural chemicals such as pesticides.,The water may dissolve agricultural chemicals such,pesticides.
(.*?) for (.*),The soil may get too salty for plants to grow.,The soil may get too salty,plants to grow.
(.*?) for (.*),The greatest use is for agriculture and then industry.,The greatest use is,agriculture and then industry.
(.*?)(?:by|through) (.*),Municipal use refers to water used by homes and businesses in communities.,Municipal use refers to water used ,homes and businesses in communities.
(.*?)(?:by|through) (.*),More than 70 percent of Earths surface is covered by water.,More than 70 percent of Earths surface is covered ,water.
(.*?) for (.*),"There are many ways to use water for fun, from white water rafting to snorkeling.",There are many ways to use water,"fun, from white water rafting to snorkeling."
(.*?) for (.*),What do you think is the single biggest use of water for fun?,What do you think is the single biggest use of water,fun?
(.*?) for (.*),"Besides drinking it, they use it for cooking, bathing, washing dishes, doing laundry, and flushing toilets.","Besides drinking it, they use it","cooking, bathing, washing dishes, doing laundry, and flushing toilets."
(.*?) for (.*),"At the sewage treatment plant, water can be is treated and prepared for reuse.","At the sewage treatment plant, water can be is treated and prepared",reuse.
(.*?) as (.*),"The runoff water may end up in storm sewers that flow into a body of water, such as the ocean.","The runoff water may end up in storm sewers that flow into a body of water, such",the ocean.
(.*?)(?:by|through) (.*),This is caused by power plants and factories that use the water to cool their machines.,This is caused ,power plants and factories that use the water to cool their machines.
(.*?)(?:by|through) (.*),"As it flows through the towers, the cold water absorbs heat.",As it flows ,"the towers, the cold water absorbs heat."
(.*?) as (.*),Warm water cant hold as much oxygen as cool water.,Warm water cant hold,much oxygen as cool water.
(.*?) for (.*),"If the water gets too warm, there may not be enough oxygen for living things.","If the water gets too warm, there may not be enough oxygen",living things.
(.*?) because (.*),"Of course, its because most pollution enters the oceans from the land.","Of course, its",most pollution enters the oceans from the land.
(.*) so (.*?) that (.*),Coastal water may become so polluted that people get sick if they swim in it or eat seafood from it.,Coastal water may become,polluted,people get sick if they swim in it or eat seafood from it.
(.*?)(?:by|through) (.*),Some of the chemicals are picked up by rainwater.,Some of the chemicals are picked up ,rainwater.
(.*?)(?:by|through) (.*),Runoff then carries the chemicals to nearby rivers or lakes.,Runoff then carries the chemicals to near,rivers or lakes.
(.*) (?:lead|leads|led) to (.*),This can lead to dead zones where nothing can live in lakes and at the mouths of rivers.,This can,dead zones where nothing can live in lakes and at the mouths of rivers.
(.*?)(?:by|through) (.*),"In fact, more than 40 human diseases can be caused by water polluted with animal waste.","In fact, more than 40 human diseases can be caused ",water polluted with animal waste.
(.*?)(?:by|through) (.*),"In North Carolina, 25 million gallons of hog manure spilled into a nearby river.","In North Carolina, 25 million gallons of hog manure spilled into a near",river.
(.*?) so (.*),The oil may pollute groundwater so it is no longer fit to drink.,The oil may pollute groundwater,it is no longer fit to drink.
(.*?) for (.*),Households and businesses in a community are also responsible for polluting the water supply.,Households and businesses in a community are also responsible,polluting the water supply.
(.*?)(?:by|through) (.*),The chemicals may be picked up by rainwater.,The chemicals may be picked up ,rainwater.
(.*?)(?:by|through) (.*),The contaminated runoff enters storm sewers and ends up in nearby rivers or lakes.,The contaminated runoff enters storm sewers and ends up in near,rivers or lakes.
(.*?)(?:by|through) (.*),You might think they are too big to be harmed by pollution.,You might think they are too big to be harmed ,pollution.
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),This means that the pollution is from multiple sources.,This,that the pollution is from multiple sources.
(.*?) as (.*),They use only about half as much water per flush.,They use only about half,much water per flush.
(.*?) as (.*),You can get just as clean in 5 minutes as you can in 10.,You can get just,clean in 5 minutes as you can in 10.
(.*?) as (.*),They use about half as much water as regular shower heads.,They use about half,much water as regular shower heads.
(.*?) as (.*),You could save as much as 10 gallons each time you brush.,You could save,much as 10 gallons each time you brush.
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),Conserving water means using less of it.,Conserving water,using less of it.
(.*?) for (.*),Treating water for other purposes may not include all the same steps.,Treating water,other purposes may not include all the same steps.
(.*?) because (.*),Thats because water used in agriculture or industry may not have to be as clean as drinking water.,Thats,water used in agriculture or industry may not have to be as clean as drinking water.
(.*?) (?:concern|concerns|concerned|require|requires|required|request|requests|requested) (.*),Treating drinking water requires at least four processes: 1.,Treating drinking water,at least four processes: 1.
(.*?)(?:by|through) (.*),The water is passed through filters that remove smaller particles from the water.,The water is passed ,filters that remove smaller particles from the water.
(.*?) for (.*),"During rationing, water may not be used for certain things.","During rationing, water may not be used",certain things.
(.*?) if (.*),People may be fined if they use water in these ways.,People may be fined,they use water in these ways.
(.*) so (.*?) that (.*),The river was so polluted with oil and other industrial wastes that it was flammable.,The river was,polluted with oil and other industrial wastes,it was flammable.
(.*) (?:lead|leads|led) to (.*),Disasters such as rivers burning led to new U.S. laws to protect the water.,Disasters such as rivers burning,new U.S. laws to protect the water.
(.*?)(?:by|through) (.*),"Some are released by natural processes, like ash from volcanoes.",Some are released ,"natural processes, like ash from volcanoes."
(.*?)(?:by|through) (.*),Most are released by human activities.,Most are released ,human activities.
(.*?) as (.*),Volatile organic compounds (VOCs) are carbon compounds such as methane.,Volatile organic compounds (VOCs) are carbon compounds such,methane.
(.*?) as (.*),"VOCs are released in many human activities, such as raising livestock.","VOCs are released in many human activities, such",raising livestock.
(.*?) as (.*),Many occur as part of photochemical smog.,Many occur,part of photochemical smog.
(.*?) as (.*),This type of smog is seen as a brown haze in the air.,This type of smog is seen,a brown haze in the air.
(.*?) as (.*),"The ozone in smog is the same compound as the ozone in the ozone layer,(O3 ).",The ozone in smog is the same compound,"the ozone in the ozone layer,(O3 )."
(.*?)(?:by|through) (.*),"When nitrogen oxides and VOCs are heated by the Sun, they lose oxygen atoms.",When nitrogen oxides and VOCs are heated ,"the Sun, they lose oxygen atoms."
(.*?)(?:by|through) (.*),"By 1970, it was clear that something needed to be done to protect air quality.",,"1970, it was clear that something needed to be done to protect air quality."
(.*) result(.*?)is (.*),"As a result, the air in the U.S. is much cleaner now than it was 50 years ago.",As a,", the air in the U.S. ",much cleaner now than it was 50 years ago.
(.*?) as (.*),They are known as primary pollutants and secondary pollutants.,They are known,primary pollutants and secondary pollutants.
(.*?)(?:by|through) (.*),"By the mid-1900s, air quality in many big cities was very bad.",,"the mid-1900s, air quality in many big cities was very bad."
(.*) so (.*?) that (.*),The air became so polluted that thousands of people died in just a few days.,The air became,polluted,thousands of people died in just a few days.
(.*?) (?:imply|implies|implied|mean|means|indicate|indicates|indicated) (.*),More pollutants mean poorer air quality.,More pollutants,poorer air quality.
(.*?)(?:by|through) (.*),VOCs enter the air by evaporation.,VOCs enter the air ,evaporation.
(.*?) for (.*),Millions of acres of forest have been cut and burned to make way for farming.,Millions of acres of forest have been cut and burned to make way,farming.
(.*?) as (.*),Burning trees produces most of the same pollutants as burning fossil fuels.,Burning trees produces most of the same pollutants,burning fossil fuels.
(.*?) for (.*),Motor vehicles account for almost half of fossil fuel use.,Motor vehicles account,almost half of fossil fuel use.
(.*?) for (.*),Power plants and factories account for more than a quarter of fossil fuel use.,Power plants and factories account,more than a quarter of fossil fuel use.
(.*?) for (.*),"The energy they release is used for heating, cooking, and other purposes.",The energy they release is used,"heating, cooking, and other purposes."
(.*?) because (.*),"Thats because they are released by products such as paints, cleaning solutions, and building materials.",Thats,"they are released by products such as paints, cleaning solutions, and building materials."
(.*?) because (.*),Its slightly acidic because carbon dioxide in the air dissolves in rain.,Its slightly acidic,carbon dioxide in the air dissolves in rain.
(.*?) as (.*),Acid rain with a pH as low as 4.0 is now common in many areas.,Acid rain with a pH,low as 4.0 is now common in many areas.
(.*?) as (.*),Fog with a pH as low as 1.7 has been recorded.,Fog with a pH,low as 1.7 has been recorded.
(.*?) as (.*),Thats the same pH as toilet bowl cleaner!,Thats the same pH,toilet bowl cleaner!
(.*)why (.*?) that (.*),Thats why people were alarmed in the 1980s to learn that there was a hole in the ozone layer.,Thats ,people were alarmed in the 1980s to learn,there was a hole in the ozone layer.
(.*?) for (.*),CFCs are stable compounds that can remain in the atmosphere for hundreds of years.,CFCs are stable compounds that can remain in the atmosphere,hundreds of years.
(.*?) as (.*),"One CFC molecule can break down as many as 100,000 ozone molecules in this way!",One CFC molecule can break down,"many as 100,000 ozone molecules in this way!"
(.*?) as (.*),"Plants such as trees, which normally live a long time, are most affected.",Plants such,"trees, which normally live a long time, are most affected."
